v8-version,8,4,371,23,-node.84,0
shared-library,/usr/local/bin/node,0x400000,0x42d9000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f489ec75000,0x7f489ee12000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f489ee67000,0x7f489ee7f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f489ee8a000,0x7f489ee9f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f489eea5000,0x7f489ef5b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f489eff4000,0x7f489f17b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f489f1d6000,0x7f489f1d9000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f489f1f0000,0x7f489f214000,0
shared-library,[vdso],0x7ffc4dfbf000,0x7ffc4dfc1000,0
profiler,begin,1000
tick,0x7f489ed8621f,968,0,0x0,6
tick,0x110d170,2035,0,0x0,6
tick,0xf74225,3096,0,0x0,6
code-creation,Builtin,3,3325,0x13d64a0,1632,RecordWrite
code-creation,Builtin,3,3342,0x13d6b20,424,EphemeronKeyBarrier
code-creation,Builtin,3,3350,0x13d6ce0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3357,0x13d6d20,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3364,0x13d6e60,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3372,0x13d6f40,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3380,0x13d7060,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3387,0x13d71a0,127,CallBoundFunction
code-creation,Builtin,3,3394,0x13d7220,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3401,0x13d72a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3408,0x13d7320,109,Call_ReceiverIsAny
code-creation,Builtin,3,3415,0x13d73a0,866,CallProxy
code-creation,Builtin,3,3423,0x13d7720,75,CallVarargs
