v8-version,8,4,371,23,-node.84,0
shared-library,/usr/local/bin/node,0x400000,0x42d9000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7fb69081e000,0x7fb6909bb000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7fb690a10000,0x7fb690a28000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fb690a33000,0x7fb690a48000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7fb690a4e000,0x7fb690b04000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7fb690b9d000,0x7fb690d24000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7fb690d7f000,0x7fb690d82000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7fb690d99000,0x7fb690dbd000,0
shared-library,[vdso],0x7ffe0c326000,0x7ffe0c328000,0
profiler,begin,1000
tick,0x7fb69092f21f,961,0,0x0,6
tick,0xd647d1,2026,0,0x0,6
tick,0xc78f41,3095,0,0x0,6
code-creation,Builtin,3,3128,0x13d64a0,1632,RecordWrite
code-creation,Builtin,3,3141,0x13d6b20,424,EphemeronKeyBarrier
code-creation,Builtin,3,3151,0x13d6ce0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3160,0x13d6d20,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3169,0x13d6e60,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3178,0x13d6f40,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3189,0x13d7060,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3198,0x13d71a0,127,CallBoundFunction
code-creation,Builtin,3,3206,0x13d7220,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3215,0x13d72a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3225,0x13d7320,109,Call_ReceiverIsAny
code-creation,Builtin,3,3233,0x13d73a0,866,CallProxy
